City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,tura,25.5198,90.2201,304.54,59,32,0.74,IN,1693453695
159,flin flon,54.7682,-101.865,291.45,54,90,3.3,CA,1693453695
160,karagandy,49.8019,73.1021,285.12,45,24,9.65,KZ,1693453695
161,nar'yan-mar,67.6713,53.087,283.98,73,44,2.29,RU,1693453696
162,rio grande,-32.035,-52.0986,283.68,90,3,2.92,BR,1693453696
163,thompson,55.7435,-97.8558,291.24,82,40,1.54,CA,1693453696
164,danane,7.2596,-8.155,293.98,100,99,0.44,CI,1693453696
165,utrik,11.2278,169.8474,301.97,73,47,6.22,MH,1693453697
166,chinde,26.8418,88.0763,297.52,68,31,1.49,NP,1693453697
167,camabatela,-8.1881,15.375,289.14,91,51,1.52,AO,1693453697
168,dompu,-8.5356,118.4622,306.45,37,17,2.58,ID,1693453697
169,port hedland,-20.3167,118.5667,308.18,8,8,7.2,AU,1693453651
170,aripuana,-9.1667,-60.6333,297.22,80,7,0.91,BR,1693453698
171,san antonio de pale,-1.4014,5.6325,296.89,88,99,4.99,GQ,1693453698
172,rock falls,41.7798,-89.689,287.14,86,0,0.0,US,1693453699
173,kourou,5.1552,-52.6478,298.18,85,2,2.29,GF,1693453699
174,la passe,45.5549,-0.8967,287.28,79,92,3.08,FR,1693453699
175,robore,-18.3333,-59.75,301.11,38,54,1.39,BO,1693453699
176,puerto del carmen,28.9231,-13.6658,294.88,78,40,3.09,ES,1693453700
177,punta arenas,-53.15,-70.9167,275.6,77,71,6.43,CL,1693453450
178,tlahualilo de zaragoza,26.1167,-103.45,301.67,31,82,8.32,MX,1693453700
179,sal rei,16.1833,-22.9167,300.11,87,100,6.9,CV,1693453700
180,thinadhoo,0.5333,72.9333,301.49,68,82,1.72,MV,1693453701
181,smithers,54.7804,-127.1743,290.33,67,20,4.12,CA,1693453702
182,lerwick,60.1545,-1.1494,285.15,91,5,3.8,GB,1693453702
183,garden city,42.3256,-83.331,287.29,90,0,2.06,US,1693453565
184,bel ombre,-4.6167,55.4167,300.06,74,40,6.17,SC,1693453702
185,howard springs,-12.497,131.047,303.61,61,19,2.73,AU,1693453703
186,ramhormoz,31.28,49.6035,307.28,19,0,1.76,IR,1693453703
187,kavaratti,10.5669,72.642,300.95,80,69,6.7,IN,1693453703
188,aksu,41.1231,80.2644,302.14,21,18,0.36,CN,1693453499
189,udachny,66.4167,112.4,279.51,93,100,9.56,RU,1693453704
190,north battleford,52.7834,-108.2847,292.26,88,75,2.57,CA,1693453704
191,kidal,18.4411,1.4078,307.18,29,72,2.32,ML,1693453704
192,jamestown,42.097,-79.2353,288.92,94,100,3.6,US,1693453647
193,mount isa,-20.7333,139.5,301.02,16,0,5.66,AU,1693453705
194,karratha,-20.7377,116.8463,304.03,20,10,5.35,AU,1693453705
195,sosnogorsk,63.6023,53.8817,284.99,67,32,2.17,RU,1693453706
196,flying fish cove,-10.4217,105.6791,297.97,83,100,5.14,CX,1693453706
197,corumba,-19.0092,-57.6533,298.99,56,21,1.46,BR,1693453706
198,whakatane,-37.9585,176.9854,289.55,74,2,1.34,NZ,1693453706
199,qujing,25.4833,103.7833,294.05,68,81,2.0,CN,1693453707
200,rosarito,32.3333,-117.0333,297.17,68,16,0.63,MX,1693453707
201,carutapera,-1.195,-46.02,298.59,81,5,2.75,BR,1693453707
202,fort bragg,35.139,-79.006,296.23,96,75,6.69,US,1693453707
203,kapa'a,22.0752,-159.319,302.14,83,40,7.2,US,1693453708
204,soio,-6.1349,12.3689,295.55,92,100,2.69,AO,1693453708
205,sarangani,5.4033,125.4636,301.78,76,17,5.67,PH,1693453708
206,santa cruz,-17.8,-63.1667,297.85,78,13,2.06,BO,1693453709
207,margate,51.3813,1.3862,287.21,85,98,2.45,GB,1693453433
208,atbara,17.7022,33.9864,301.5,60,100,8.24,SD,1693453709
209,aasiaat,68.7098,-52.8699,276.12,88,100,5.81,GL,1693453710
210,kyzyl-suu,42.3414,78.0056,292.01,45,100,3.62,KG,1693453710
211,sakhipur,24.3,90.1833,306.48,54,15,1.54,BD,1693453710
212,newman,37.3138,-121.0208,302.28,18,0,1.86,US,1693453711
213,mahanoro,-19.9,48.8,292.06,85,87,2.39,MG,1693453711
214,marsabit,2.3284,37.9899,289.68,70,37,7.97,KE,1693453711
215,oranjemund,-28.55,16.4333,286.28,88,71,2.1,NA,1693453711
216,tainan,22.9908,120.2133,303.1,70,75,2.06,TW,1693453555
217,gazojak,41.1875,61.4036,292.96,33,0,0.73,TM,1693453712
218,watsa,3.0372,29.5355,289.84,99,100,0.58,CD,1693453712
219,hammerfest,70.6634,23.6821,283.4,100,100,2.57,NO,1693453712
